
 num     #instances         #bytes  class name
----------------------------------------------
   1:       1773007      302521032  [C
   2:         10171       42046880  [I
   3:       1058781       25410744  java.lang.String
   4:         12958        8990480  [B
   5:        129079        6940504  [Ljava.lang.String;
   6:        170892        6835680  java.util.LinkedHashMap$Entry
   7:        181842        5818944  java.io.File
   8:        137313        5492520  org.springframework.boot.devtools.filewatch.FileSnapshot
   9:         20753        4227128  [Ljava.util.HashMap$Node;
  10:         66299        3712744  java.util.LinkedHashMap
  11:        100717        3438880  [Ljava.lang.Object;
  12:         91248        2919936  java.util.HashMap$Node
  13:         26968        2588928  java.lang.reflect.Method
  14:         44377        1530032  [Ljava.io.File;
  15:         12059        1341808  java.lang.Class
  16:         41495        1327840  java.util.concurrent.ConcurrentHashMap$Node
  17:         55224        1263336  [Ljava.lang.Class;
  18:          1823         989400  [Lcom.zeroturnaround.javarebel.gwb;
  19:         39824         955776  java.lang.StringBuilder
  20:         14512         812672  com.zeroturnaround.javarebel.gvw
  21:         11004         792288  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
  22:         11775         753600  java.net.URL
  23:         27032         648768  java.util.concurrent.CopyOnWriteArrayList$COWIterator
  24:         35906         574496  java.util.LinkedHashSet
  25:          9605         461040  java.nio.HeapCharBuffer
  26:          5448         435840  java.lang.reflect.Field
  27:           214         393360  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  28:         12180         389760  com.zeroturnaround.javarebel.gwb
  29:          8091         388368  java.util.HashMap
  30:          6443         309264  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  31:          3711         296880  java.lang.reflect.Constructor
  32:          3698         266256  org.springframework.core.annotation.AnnotationAttributes
  33:         11003         264072  org.springframework.core.type.classreading.SimpleMetadataReader
  34:          5268         252864  com.zeroturnaround.jrebelbase.d
  35:         10495         251880  org.springframework.core.io.UrlResource
  36:         10105         242520  com.zeroturnaround.javarebel.guo
  37:         14153         226448  java.lang.Object
  38:          9045         217080  java.lang.Long
  39:          8547         205128  java.util.ArrayList
  40:          6385         204320  java.util.LinkedList
  41:          8432         202368  java.lang.StringBuffer
  42:         12243         195888  org.springframework.util.LinkedMultiValueMap
  43:         12000         192000  java.util.LinkedHashMap$LinkedValues
  44:          5950         190400  java.util.ArrayList$Itr
  45:          7895         189480  com.zeroturnaround.javarebel.agh
  46:          7209         173016  java.util.LinkedList$Node
  47:          6778         162672  com.zeroturnaround.javarebel.gtb
  48:          2372         160496  [Ljava.lang.reflect.Method;
  49:          9872         157952  java.lang.Integer
  50:          6389         153336  org.springframework.util.ConcurrentReferenceHashMap$Entry
  51:          2735         153160  java.lang.Class$ReflectionData
  52:          4783         153056  java.util.Hashtable$Entry
  53:          3798         151920  java.lang.ref.SoftReference
  54:          2355         150720  com.zeroturnaround.javarebel.gxi
  55:          2860         137280  org.springframework.core.ResolvableType
  56:          4099         131168  com.zeroturnaround.javarebel.gtd
  57:          3037         121480  com.zeroturnaround.javarebel.gww
  58:          2950         118000  java.util.HashMap$KeyIterator
  59:          3676         117632  java.lang.ref.WeakReference
  60:          3623         115936  java.util.LinkedHashMap$LinkedKeyIterator
  61:          1223         114520  [Ljava.util.Hashtable$Entry;
  62:          7107         113712  com.zeroturnaround.javarebel.age
  63:          2708         108320  com.zeroturnaround.javarebel.gxe
  64:          3303         105696  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  65:          1627         104128  java.text.DateFormatSymbols
  66:          4292         103008  com.zeroturnaround.javarebel.guq
  67:          2499          99960  java.lang.ref.Finalizer
  68:           262          98512  java.lang.Thread
  69:          2355          94200  com.zeroturnaround.javarebel.gxm
  70:          1628          91168  sun.nio.cs.UTF_8$Encoder
  71:           839          80544  com.zeroturnaround.reload.ab
  72:           848          76032  [Lcom.zeroturnaround.javarebel.haf;
  73:          3154          75696  org.springframework.core.MethodClassKey
  74:          3151          75624  java.util.Collections$UnmodifiableCollection$1
  75:          2353          75296  java.util.Vector
  76:           905          74200  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  77:          1832          73280  java.security.ProtectionDomain
  78:          1307          73192  java.security.Provider$Service
  79:          2259          72288  sun.reflect.DelegatingConstructorAccessorImpl
  80:          1769          70760  java.util.TreeMap$Entry
  81:          2177          69664  java.lang.ref.ReferenceQueue
  82:          4330          69280  com.zeroturnaround.javarebel.gwg
  83:          4219          67504  org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder
  84:          1197          67032  java.lang.invoke.MemberName
  85:             2          65568  [Lcom.alibaba.fastjson.util.IdentityHashMap$Entry;
  86:          1989          63648  java.util.concurrent.locks.ReentrantLock$NonfairSync
  87:          2647          63528  java.util.Date
  88:          2624          62976  java.security.Provider$ServiceKey
  89:           357          62832  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  90:          1835          58720  java.util.LinkedHashMap$LinkedEntryIterator
  91:          1830          58560  java.security.CodeSource
  92:          1428          57120  com.zeroturnaround.javarebel.nx
  93:          1186          56928  java.util.Hashtable
  94:           997          55832  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
  95:          2199          52776  org.zeroturnaround.bundled.javassist.bytecode.Utf8Info
  96:          1633          52256  java.lang.ThreadLocal$ThreadLocalMap$Entry
  97:           549          51088  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  98:          2076          49824  sun.reflect.annotation.AnnotationInvocationHandler
  99:          1029          49392  org.apache.tomcat.util.modeler.AttributeInfo
 100:          1028          49344  org.zeroturnaround.javarebel.integration.util.WeakIdentityHashMap$Entry
 101:          3071          49136  java.util.HashSet
 102:           844          47264  com.zeroturnaround.reload.z
 103:          2937          46992  java.util.LinkedHashMap$LinkedKeySet
 104:          2921          46736  java.util.LinkedHashMap$LinkedEntrySet
 105:           270          45360  org.springframework.beans.factory.support.RootBeanDefinition
 106:           785          43960  java.util.concurrent.ConcurrentHashMap$EntryIterator
 107:          2708          43328  com.zeroturnaround.javarebel.gxc
 108:          1069          42760  java.lang.invoke.MethodType
 109:           883          42384  java.nio.HeapByteBuffer
 110:           755          42280  java.util.concurrent.ConcurrentHashMap$KeyIterator
 111:           581          41832  java.util.regex.Pattern
 112:           866          41568  com.zeroturnaround.javarebel.haf
 113:           847          40656  com.zeroturnaround.javarebel.gzy
 114:          1624          38976  java.util.concurrent.LinkedBlockingQueue$Node
 115:          1637          38744  [Ljava.lang.reflect.Constructor;
 116:          2355          37680  com.zeroturnaround.javarebel.gxp
 117:           445          36736  [Ljava.util.WeakHashMap$Entry;
 118:           441          36144  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 119:           587          35624  [Ljava.security.ProtectionDomain;
 120:          2179          34864  java.lang.ref.ReferenceQueue$Lock
 121:          1451          34824  sun.reflect.generics.tree.SimpleClassTypeSignature
 122:           835          34768  [Ljava.lang.reflect.Field;
 123:          1080          34560  sun.reflect.DelegatingMethodAccessorImpl
 124:          1073          34336  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 125:           534          34176  java.util.regex.Matcher
 126:           145          34064  [[C
 127:          1363          32712  java.lang.Class$AnnotationData
 128:          1992          31872  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry
 129:           496          31744  java.util.concurrent.ConcurrentHashMap
 130:           787          31480  com.zeroturnaround.javarebel.hah
 131:           940          30080  java.util.Collections$SynchronizedMap
 132:          1238          29712  sun.reflect.NativeConstructorAccessorImpl
 133:          1833          29328  java.security.ProtectionDomain$Key
 134:          1832          29312  [Ljava.security.Principal;
 135:           516          28896  java.lang.Package
 136:           720          28800  org.springframework.util.ConcurrentReferenceHashMap$Segment
 137:           249          28232  [Z
 138:           438          28032  org.springframework.core.MethodParameter
 139:           869          27808  java.util.LinkedList$ListItr
 140:           495          27720  [Ljava.util.regex.Pattern$GroupHead;
 141:          1093          27440  [Ljava.lang.annotation.Annotation;
 142:          1143          27432  java.util.concurrent.CopyOnWriteArrayList
 143:           849          27168  sun.misc.FloatingDecimal$ASCIIToBinaryBuffer
 144:          1451          27024  [Lsun.reflect.generics.tree.TypeArgument;
 145:           562          26976  org.apache.tomcat.util.buf.ByteChunk
 146:           553          26544  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 147:           530          25440  org.apache.tomcat.util.buf.CharChunk
 148:          1058          25392  java.util.jar.Attributes$Name
 149:           523          25104  org.apache.tomcat.util.buf.MessageBytes
 150:            46          24288  [Lorg.zeroturnaround.bundled.javassist.bytecode.ConstInfo;
 151:          1004          24096  org.springframework.beans.BeanMetadataAttribute
 152:           485          23280  ch.qos.logback.classic.Logger
 153:           725          23200  java.lang.invoke.DirectMethodHandle
 154:           418          22856  [Ljava.nio.ByteBuffer;
 155:           952          22848  java.lang.Double
 156:          1424          22784  org.zeroturnaround.javarebel.integration.util.MiscUtil$3
 157:          1405          22480  sun.reflect.generics.tree.ClassTypeSignature
 158:          1354          21664  com.zeroturnaround.javarebel.gwx
 159:          1354          21664  com.zeroturnaround.javarebel.gwy
 160:          1354          21664  com.zeroturnaround.javarebel.gxd
 161:           451          21648  org.apache.tomcat.util.modeler.OperationInfo
 162:           909          21352  [Ljava.lang.reflect.Type;
 163:          1309          20944  java.util.Collections$UnmodifiableSet
 164:          1303          20848  java.util.HashMap$KeySet
 165:           866          20784  org.springframework.http.MediaType
 166:           518          20720  org.zeroturnaround.bundled.javassist.bytecode.MethodInfo
 167:           642          20544  java.util.Collections$UnmodifiableMap
 168:           509          20360  sun.misc.Cleaner
 169:           839          20136  com.zeroturnaround.javarebel.gup
 170:           419          20112  java.util.WeakHashMap
 171:           626          20032  com.zeroturnaround.javarebel.gds
 172:           834          20016  java.util.regex.Pattern$Slice
 173:           277          19944  com.sun.jmx.remote.util.OrderClassLoaders
 174:           277          19944  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader
 175:           277          19944  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper
 176:           615          19680  org.springframework.asm.Type
 177:          1205          19280  java.util.concurrent.locks.ReentrantLock
 178:           480          19200  java.math.BigInteger
 179:           598          19136  javax.management.MBeanAttributeInfo
 180:           477          19080  java.util.HashMap$ValueIterator
 181:           848          19072  [Lorg.springframework.core.ResolvableType;
 182:           468          18720  java.util.WeakHashMap$Entry
 183:           779          18696  org.zeroturnaround.bundled.javassist.bytecode.NameAndTypeInfo
 184:           738          17712  com.zeroturnaround.javarebel.cmy
 185:           524          17704  [Ljava.lang.CharSequence;
 186:           440          17600  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 187:           439          17560  org.zeroturnaround.bundled.javassist.bytecode.CodeAttribute
 188:           435          17400  java.io.FileDescriptor
 189:           720          17280  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 190:           233          16776  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 191:           695          16680  org.zeroturnaround.bundled.javassist.bytecode.MethodrefInfo
 192:           414          16560  sun.nio.cs.UTF_8$Decoder
 193:           506          16192  java.nio.DirectByteBuffer$Deallocator
 194:           112          16128  java.text.DecimalFormat
 195:           498          15936  org.springframework.messaging.support.ExecutorSubscribableChannel$SendTask
 196:           225          15880  [J
 197:           247          15808  java.nio.DirectByteBuffer
 198:           977          15632  org.springframework.core.ResolvableType$DefaultVariableResolver
 199:           378          15120  org.apache.tomcat.websocket.MessagePart
 200:           627          15048  org.springframework.boot.devtools.filewatch.FolderSnapshot
 201:           371          14840  java.util.HashMap$EntryIterator
 202:           166          14608  com.alibaba.fastjson.serializer.JSONSerializer
 203:           260          14560  java.nio.StringCharBuffer
 204:           606          14544  com.zeroturnaround.javarebel.gi
 205:           259          14504  sun.util.calendar.ZoneInfo
 206:           431          13792  java.lang.invoke.LambdaForm$Name
 207:           844          13504  com.zeroturnaround.reload.aj
 208:           840          13440  com.zeroturnaround.javarebel.abr
 209:           120          13440  java.util.GregorianCalendar
 210:           420          13440  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 211:           546          13104  java.util.concurrent.locks.ReentrantReadWriteLock
 212:            47          13048  [Lorg.zeroturnaround.javarebel.integration.util.WeakIdentityHashMap$Entry;
 213:           540          12960  java.lang.ThreadLocal$ThreadLocalMap
 214:           202          12928  java.util.jar.JarFile
 215:           160          12800  java.net.URI
 216:           785          12560  com.zeroturnaround.javarebel.hac
 217:           389          12448  sun.reflect.generics.repository.ClassRepository
 218:           129          12384  org.apache.catalina.webresources.CachedResource
 219:           171          12312  sun.reflect.DelegatingClassLoader
 220:           205          12272  [Ljava.lang.ref.SoftReference;
 221:           378          12128  [Lorg.apache.tomcat.websocket.WsRemoteEndpointImplBase$State;
 222:           301          12040  java.security.AccessControlContext
 223:           250          12000  java.util.zip.Inflater
 224:           498          11952  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1
 225:           498          11952  org.springframework.messaging.support.MessageHeaderAccessor$MutableMessageHeaders
 226:           213          11928  sun.security.ssl.CipherSuite
 227:           462          11872  [Lorg.springframework.asm.Type;
 228:           212          11872  java.util.concurrent.ConcurrentHashMap$ValueIterator
 229:           185          11840  java.text.DecimalFormatSymbols
 230:           133          11704  com.zeroturnaround.javarebel.qe
 231:           120          11520  sun.util.calendar.Gregorian$Date
 232:           286          11440  javax.management.MBeanOperationInfo
 233:           475          11400  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 234:           237          11376  java.util.StringTokenizer
 235:           472          11328  sun.reflect.NativeMethodAccessorImpl
 236:           457          10968  java.util.Collections$UnmodifiableRandomAccessList
 237:           273          10920  com.zeroturnaround.javarebel.od
 238:           341          10912  sun.misc.FDBigInteger
 239:           194          10864  java.util.ResourceBundle$CacheKey
 240:           193          10808  com.fasterxml.jackson.core.util.TextBuffer
 241:           674          10784  org.zeroturnaround.javarebel.integration.util.MiscUtil$2
 242:           447          10728  sun.reflect.generics.factory.CoreReflectionFactory
 243:           166          10624  com.alibaba.fastjson.serializer.SerializeWriter
 244:           220          10560  java.util.concurrent.ThreadPoolExecutor$Worker
 245:           440          10560  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 246:           439          10536  org.zeroturnaround.bundled.javassist.bytecode.ExceptionTable
 247:           439          10536  org.zeroturnaround.bundled.javassist.bytecode.LineNumberAttribute
 248:           655          10480  com.sun.proxy.$Proxy28
 249:           436          10464  org.springframework.boot.context.properties.source.PropertyMapping
 250:           432          10368  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 251:           431          10344  org.springframework.core.io.ClassPathResource
 252:           215          10320  java.util.logging.LogManager$LoggerWeakRef
 253:           410           9840  org.springframework.cglib.core.Signature
 254:           404           9696  com.zeroturnaround.javarebel.agl
 255:           303           9696  org.apache.tomcat.util.modeler.ParameterInfo
 256:           399           9576  java.util.regex.Pattern$Start
 257:           395           9480  sun.reflect.generics.scope.ClassScope
 258:           389           9336  sun.reflect.generics.tree.ClassSignature
 259:           194           9312  java.util.ResourceBundle$BundleReference
 260:           451           9248  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 261:           159           8904  java.beans.MethodDescriptor
