
 num     #instances         #bytes  class name
----------------------------------------------
   1:        216680       37445760  [C
   2:          6552        9631880  [I
   3:          6096        6025712  [B
   4:        190843        4580232  java.lang.String
   5:         64612        3618272  java.util.LinkedHashMap
   6:         26968        2588928  java.lang.reflect.Method
   7:         59490        1903680  java.util.HashMap$Node
   8:         22152        1440096  [Ljava.lang.Object;
   9:         33913        1356520  java.util.LinkedHashMap$Entry
  10:         13930        1348944  [Ljava.util.HashMap$Node;
  11:         12060        1341912  java.lang.Class
  12:         41278        1320896  java.util.concurrent.ConcurrentHashMap$Node
  13:          1821         972984  [Lcom.zeroturnaround.javarebel.gwb;
  14:         14510         812560  com.zeroturnaround.javarebel.gvw
  15:         11004         792288  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
  16:         11642         745088  java.net.URL
  17:         27546         606720  [Ljava.lang.Class;
  18:         35266         564256  java.util.LinkedHashSet
  19:         17303         474064  [Ljava.lang.String;
  20:          5448         435840  java.lang.reflect.Field
  21:           218         393456  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  22:         10502         336064  com.zeroturnaround.javarebel.gwb
  23:          6443         309264  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  24:          3713         297040  java.lang.reflect.Constructor
  25:          5935         284880  java.util.HashMap
  26:          3698         266256  org.springframework.core.annotation.AnnotationAttributes
  27:         11003         264072  org.springframework.core.type.classreading.SimpleMetadataReader
  28:          5269         252912  com.zeroturnaround.jrebelbase.d
  29:         10495         251880  org.springframework.core.io.UrlResource
  30:         10105         242520  com.zeroturnaround.javarebel.guo
  31:         14140         226240  java.lang.Object
  32:          9048         217152  java.lang.Long
  33:         12026         192416  org.springframework.util.LinkedMultiValueMap
  34:         11909         190544  java.util.LinkedHashMap$LinkedValues
  35:          7895         189480  com.zeroturnaround.javarebel.agh
  36:          5532         177024  java.util.LinkedList
  37:          2372         160496  [Ljava.lang.reflect.Method;
  38:          6389         153336  org.springframework.util.ConcurrentReferenceHashMap$Entry
  39:          2736         153216  java.lang.Class$ReflectionData
  40:          4783         153056  java.util.Hashtable$Entry
  41:          6367         152808  java.util.LinkedList$Node
  42:          6170         148080  java.util.ArrayList
  43:          9077         145232  java.lang.Integer
  44:          3534         141360  java.lang.ref.SoftReference
  45:          5693         136632  java.lang.StringBuilder
  46:          2794         134112  org.springframework.core.ResolvableType
  47:          3679         117728  java.lang.ref.WeakReference
  48:          1224         114584  [Ljava.util.Hashtable$Entry;
  49:          7107         113712  com.zeroturnaround.javarebel.age
  50:          2641         105640  java.lang.ref.Finalizer
  51:          4292         103008  com.zeroturnaround.javarebel.guq
  52:          2759          88288  java.io.File
  53:           839          80544  com.zeroturnaround.reload.ab
  54:          1971          78840  org.springframework.boot.devtools.filewatch.FileSnapshot
  55:           848          76032  [Lcom.zeroturnaround.javarebel.haf;
  56:          3154          75696  org.springframework.core.MethodClassKey
  57:          2322          74304  java.util.Vector
  58:           905          74200  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  59:          1833          73320  java.security.ProtectionDomain
  60:          1307          73192  java.security.Provider$Service
  61:          2261          72352  sun.reflect.DelegatingConstructorAccessorImpl
  62:          2180          69760  java.lang.ref.ReferenceQueue
  63:          4328          69248  com.zeroturnaround.javarebel.gwg
  64:          1700          68000  java.util.TreeMap$Entry
  65:          1697          67880  com.zeroturnaround.javarebel.gww
  66:          4219          67504  org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder
  67:          1197          67032  java.lang.invoke.MemberName
  68:             2          65568  [Lcom.alibaba.fastjson.util.IdentityHashMap$Entry;
  69:          1991          63712  java.util.concurrent.locks.ReentrantLock$NonfairSync
  70:          2624          62976  java.security.Provider$ServiceKey
  71:           357          62832  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  72:          1831          58592  java.security.CodeSource
  73:          1187          56976  java.util.Hashtable
  74:           997          55832  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
  75:          2199          52776  org.zeroturnaround.bundled.javassist.bytecode.Utf8Info
  76:          2076          49824  sun.reflect.annotation.AnnotationInvocationHandler
  77:          1029          49392  org.apache.tomcat.util.modeler.AttributeInfo
  78:          1028          49344  org.zeroturnaround.javarebel.integration.util.WeakIdentityHashMap$Entry
  79:           844          47264  com.zeroturnaround.reload.z
  80:           270          45360  org.springframework.beans.factory.support.RootBeanDefinition
  81:          2675          42800  java.util.LinkedHashMap$LinkedEntrySet
  82:          1069          42760  java.lang.invoke.MethodType
  83:           866          41568  com.zeroturnaround.javarebel.haf
  84:           847          40656  com.zeroturnaround.javarebel.gzy
  85:           106          39856  java.lang.Thread
  86:          1638          38768  [Ljava.lang.reflect.Constructor;
  87:           448          36976  [Ljava.util.WeakHashMap$Entry;
  88:           441          36144  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  89:          2182          34912  java.lang.ref.ReferenceQueue$Lock
  90:          1451          34824  sun.reflect.generics.tree.SimpleClassTypeSignature
  91:          1088          34816  java.lang.ThreadLocal$ThreadLocalMap$Entry
  92:           835          34768  [Ljava.lang.reflect.Field;
  93:          1080          34560  sun.reflect.DelegatingMethodAccessorImpl
  94:          1073          34336  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  95:           710          34080  java.nio.HeapCharBuffer
  96:           145          34064  [[C
  97:          1363          32712  java.lang.Class$AnnotationData
  98:          2038          32608  java.util.HashSet
  99:           940          30080  java.util.Collections$SynchronizedMap
 100:          1239          29736  sun.reflect.NativeConstructorAccessorImpl
 101:          1834          29344  java.security.ProtectionDomain$Key
 102:          1833          29328  [Ljava.security.Principal;
 103:          1212          29088  com.zeroturnaround.javarebel.gtb
 104:           516          28896  java.lang.Package
 105:           720          28800  org.springframework.util.ConcurrentReferenceHashMap$Segment
 106:           438          28032  org.springframework.core.MethodParameter
 107:          1093          27440  [Ljava.lang.annotation.Annotation;
 108:          1143          27432  java.util.concurrent.CopyOnWriteArrayList
 109:           424          27136  java.util.concurrent.ConcurrentHashMap
 110:          1451          27024  [Lsun.reflect.generics.tree.TypeArgument;
 111:          1688          27008  java.util.LinkedHashMap$LinkedKeySet
 112:           562          26976  org.apache.tomcat.util.buf.ByteChunk
 113:           665          26600  java.util.WeakHashMap$Entry
 114:           554          26592  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 115:           180          25472  [Z
 116:           530          25440  org.apache.tomcat.util.buf.CharChunk
 117:          1058          25392  java.util.jar.Attributes$Name
 118:           225          25168  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 119:           523          25104  org.apache.tomcat.util.buf.MessageBytes
 120:            46          24288  [Lorg.zeroturnaround.bundled.javassist.bytecode.ConstInfo;
 121:          1004          24096  org.springframework.beans.BeanMetadataAttribute
 122:           601          24040  java.io.FileDescriptor
 123:           485          23280  ch.qos.logback.classic.Logger
 124:           725          23200  java.lang.invoke.DirectMethodHandle
 125:          1405          22480  sun.reflect.generics.tree.ClassTypeSignature
 126:           451          21648  org.apache.tomcat.util.modeler.OperationInfo
 127:           518          20720  org.zeroturnaround.bundled.javassist.bytecode.MethodInfo
 128:           876          20648  [Ljava.lang.reflect.Type;
 129:           422          20256  java.util.WeakHashMap
 130:           839          20136  com.zeroturnaround.javarebel.gup
 131:           626          20032  com.zeroturnaround.javarebel.gds
 132:           277          19944  com.sun.jmx.remote.util.OrderClassLoaders
 133:           277          19944  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader
 134:           277          19944  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper
 135:           615          19680  org.springframework.asm.Type
 136:           811          19464  org.springframework.http.MediaType
 137:          1207          19312  java.util.concurrent.locks.ReentrantLock
 138:           480          19200  java.math.BigInteger
 139:           598          19136  javax.management.MBeanAttributeInfo
 140:           837          18808  [Lorg.springframework.core.ResolvableType;
 141:           779          18696  org.zeroturnaround.bundled.javassist.bytecode.NameAndTypeInfo
 142:           738          17712  com.zeroturnaround.javarebel.cmy
 143:           524          17704  [Ljava.lang.CharSequence;
 144:           440          17600  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 145:           439          17560  org.zeroturnaround.bundled.javassist.bytecode.CodeAttribute
 146:           720          17280  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 147:           303          16968  sun.nio.cs.UTF_8$Encoder
 148:           492          16920  [Ljava.io.File;
 149:           695          16680  org.zeroturnaround.bundled.javassist.bytecode.MethodrefInfo
 150:           966          15456  org.springframework.core.ResolvableType$DefaultVariableResolver
 151:           606          14544  com.zeroturnaround.javarebel.gi
 152:           178          14112  [J
 153:           431          13792  java.lang.invoke.LambdaForm$Name
 154:           424          13568  java.io.FileInputStream
 155:           844          13504  com.zeroturnaround.reload.aj
 156:           840          13440  com.zeroturnaround.javarebel.abr
 157:           546          13104  java.util.concurrent.locks.ReentrantReadWriteLock
 158:           409          13088  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 159:            47          13048  [Lorg.zeroturnaround.javarebel.integration.util.WeakIdentityHashMap$Entry;
 160:           202          12928  java.util.jar.JarFile
 161:           134          12864  org.apache.catalina.webresources.CachedResource
 162:           389          12448  sun.reflect.generics.repository.ClassRepository
 163:           172          12384  sun.reflect.DelegatingClassLoader
 164:           205          12272  [Ljava.lang.ref.SoftReference;
 165:           255          12240  java.util.zip.Inflater
 166:           213          11928  sun.security.ssl.CipherSuite
 167:           462          11872  [Lorg.springframework.asm.Type;
 168:           133          11704  com.zeroturnaround.javarebel.qe
 169:           286          11440  javax.management.MBeanOperationInfo
 170:           475          11400  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 171:           472          11328  sun.reflect.NativeMethodAccessorImpl
 172:           469          11256  java.lang.StringBuffer
 173:           458          10992  java.util.concurrent.CopyOnWriteArrayList$COWIterator
 174:           341          10912  sun.misc.FDBigInteger
 175:           194          10864  java.util.ResourceBundle$CacheKey
 176:           447          10728  sun.reflect.generics.factory.CoreReflectionFactory
 177:           440          10560  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 178:           439          10536  org.zeroturnaround.bundled.javassist.bytecode.ExceptionTable
 179:           439          10536  org.zeroturnaround.bundled.javassist.bytecode.LineNumberAttribute
 180:           219          10512  java.nio.HeapByteBuffer
 181:           655          10480  com.sun.proxy.$Proxy28
 182:           262          10480  com.zeroturnaround.javarebel.od
 183:           436          10464  org.springframework.boot.context.properties.source.PropertyMapping
 184:           260          10400  sun.misc.Cleaner
 185:           432          10368  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 186:           431          10344  org.springframework.core.io.ClassPathResource
