
 num     #instances         #bytes  class name
----------------------------------------------
   1:          2776        4101192  [I
   2:          4964        3522128  [B
   3:         19370        1760200  [C
   4:          3858         424768  java.lang.Class
   5:         16046         385104  java.lang.String
   6:          4532         260536  [Ljava.lang.Object;
   7:          6023         192736  java.util.concurrent.ConcurrentHashMap$Node
   8:          7686         122976  java.lang.Object
   9:          2766         110640  java.util.LinkedHashMap$Entry
  10:          1100          97984  [Ljava.util.HashMap$Node;
  11:          2674          85568  java.util.HashMap$Node
  12:           520          45760  java.lang.reflect.Method
  13:           936          44928  java.util.HashMap
  14:            46          44160  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  15:           784          43904  java.util.LinkedHashMap
  16:           336          40320  java.net.SocksSocketImpl
  17:           557          40104  java.lang.reflect.Field
  18:           898          35920  java.util.TreeMap$Entry
  19:           813          32520  java.lang.ref.Finalizer
  20:           768          30720  org.apache.lucene.index.FreqProxTermsWriter$PostingList
  21:           759          30360  java.lang.ref.SoftReference
  22:           336          29568  java.net.DualStackPlainSocketImpl
  23:          1219          29256  java.util.ArrayList
  24:          1203          28872  com.google.inject.TypeLiteral
  25:           347          27760  java.lang.reflect.Constructor
  26:           848          27136  com.google.inject.Key
  27:          1034          24816  java.lang.StringBuilder
  28:           222          23088  java.io.ObjectStreamClass
  29:           462          22176  com.google.inject.internal.ProviderInstanceBindingImpl
  30:           908          21792  java.lang.Long
  31:           646          20672  com.google.inject.spi.ElementSource
  32:           848          20352  com.google.common.base.Suppliers$MemoizingSupplier
  33:           631          20192  com.google.common.cache.LocalCache$StrongEntry
  34:           826          19680  [Ljava.lang.Class;
  35:           564          18048  java.io.DataInputStream
  36:           200          17600  sun.rmi.transport.ConnectionInputStream
  37:           531          16992  java.io.DataOutputStream
  38:           325          16856  [Ljava.lang.String;
  39:           509          16288  java.util.Hashtable$Entry
  40:           400          16000  java.io.ObjectOutputStream$HandleTable
  41:           332          15936  java.net.SocketInputStream
  42:           332          15936  java.net.SocketOutputStream
  43:           477          15264  com.google.inject.spi.Dependency
  44:           200          14400  sun.rmi.transport.ConnectionOutputStream
  45:           253          14168  java.lang.Package
  46:           353          14120  java.io.FileDescriptor
  47:           224          13696  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
  48:           848          13568  com.google.inject.Key$1
  49:           409          13088  java.io.ObjectStreamClass$WeakClassKey
  50:           152          12160  java.net.URI
  51:           754          12064  java.lang.Integer
  52:           376          12032  java.net.InetAddress$InetAddressHolder
  53:           355          11360  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  54:           200          11200  java.io.ObjectInputStream$BlockDataInputStream
  55:           153          11016  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
  56:           341          10912  sun.misc.FDBigInteger
  57:           194          10864  java.lang.invoke.MemberName
  58:           169          10816  java.net.URL
  59:           337          10784  com.google.inject.spi.InjectionPoint
  60:           334          10688  java.net.Socket
  61:           648          10368  com.google.common.cache.LocalCache$StrongValueReference
  62:            24          10272  [Lorg.apache.lucene.index.RawPostingList;
  63:            27          10152  java.lang.Thread
  64:           408           9792  sun.reflect.annotation.AnnotationInvocationHandler
  65:           242           9680  com.google.inject.internal.Initializer$InjectableReference
  66:           164           9184  sun.rmi.transport.tcp.TCPConnection
  67:           375           9000  java.util.LinkedList$Node
  68:           223           8920  java.io.ObjectStreamField
  69:           277           8864  java.util.concurrent.locks.ReentrantLock$NonfairSync
  70:           366           8784  com.google.inject.internal.ProvisionListenerStackCallback
  71:           366           8776  [Lcom.google.inject.spi.ProvisionListener;
  72:           365           8760  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
  73:           218           8720  com.google.inject.internal.SingletonScope$1
  74:           363           8712  java.lang.Class$AnnotationData
  75:           212           8480  java.util.HashMap$ValueIterator
  76:           336           8064  java.net.Inet4Address
  77:           200           8000  java.io.ObjectOutputStream$BlockDataOutputStream
  78:           249           7968  java.rmi.server.UID
  79:           312           7488  org.eclipse.sisu.space.NamedClass
  80:           218           6976  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
  81:           172           6880  sun.rmi.transport.tcp.TCPEndpoint
  82:            85           6768  [Ljava.util.WeakHashMap$Entry;
  83:           165           6600  java.io.BufferedInputStream
  84:           200           6400  java.io.ObjectInputStream$HandleTable
  85:           200           6400  java.io.ObjectInputStream$PeekInputStream
  86:           200           6400  sun.rmi.transport.StreamRemoteCall
  87:           198           6336  java.lang.invoke.LambdaForm$Name
  88:           156           6240  org.eclipse.sisu.inject.MildValues$Weak
  89:           256           6184  [Ljava.lang.reflect.Type;
  90:           193           6176  java.util.LinkedList
  91:           256           6144  com.google.common.collect.SingletonImmutableSet
  92:            43           6088  [Ljava.util.Hashtable$Entry;
  93:            79           6032  [S
  94:           187           5984  java.util.ArrayList$ListItr
  95:           122           5856  com.google.inject.internal.ConstructorBindingImpl
  96:            61           5856  java.util.jar.JarFile$JarFileEntry
  97:            94           5640  [Ljava.lang.ref.SoftReference;
  98:           352           5632  java.lang.reflect.WeakCache$LookupValue
  99:           234           5616  com.google.common.collect.SingletonImmutableList
 100:            19           5520  [Z
 101:           230           5520  com.google.inject.internal.InternalFactoryToInitializableAdapter
 102:           136           5440  java.lang.invoke.MethodType
 103:           168           5376  java.util.ArrayList$Itr
 104:           222           5328  com.google.inject.internal.InternalFactoryToProviderAdapter
 105:           222           5328  com.google.inject.internal.ProviderToInternalFactoryAdapter
 106:           218           5232  com.google.inject.internal.ConstructionContext
 107:           209           5016  com.google.inject.internal.MoreTypes$ParameterizedTypeImpl
 108:           152           4864  java.net.URI$Parser
 109:           152           4864  sun.net.spi.DefaultProxySelector$3
 110:           121           4840  java.io.ObjectStreamClass$FieldReflectorKey
 111:           200           4800  java.io.ObjectOutputStream$ReplaceTable
 112:           145           4640  java.lang.ref.ReferenceQueue
 113:           144           4608  com.google.inject.internal.MembersInjectorImpl
 114:           142           4544  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 115:           142           4544  sun.reflect.UnsafeObjectFieldAccessorImpl
 116:            80           4480  sun.misc.URLClassPath$JarLoader
 117:            67           4288  java.util.concurrent.ConcurrentHashMap
 118:           266           4256  org.eclipse.aether.internal.impl.slf4j.Slf4jLoggerFactory$Slf4jLogger
 119:            66           4224  java.util.jar.JarFile
 120:           256           4096  java.lang.Byte
 121:           256           4096  java.lang.Short
 122:            84           4032  java.io.ObjectInputStream$FilterValues
 123:            84           4032  java.util.WeakHashMap
 124:            72           4032  sun.nio.cs.UTF_8$Encoder
 125:           166           3984  java.io.BufferedOutputStream
 126:           166           3984  sun.reflect.generics.tree.SimpleClassTypeSignature
 127:           164           3936  java.net.InetSocketAddress$InetSocketAddressHolder
 128:           123           3936  org.eclipse.sisu.plexus.RequirementImpl
 129:           245           3920  java.util.concurrent.locks.ReentrantLock
 130:           122           3904  com.google.inject.internal.ConstructorBindingImpl$Factory
 131:           122           3904  com.google.inject.internal.ConstructorInjector
 132:           159           3816  org.eclipse.sisu.plexus.ProvidedPropertyBinding
 133:           156           3744  com.google.inject.internal.InjectorImpl$2
 134:           153           3672  java.util.concurrent.Executors$RunnableAdapter
 135:           152           3648  [Ljava.net.InetAddress;
 136:           152           3648  sun.security.action.GetPropertyAction
 137:           143           3432  org.eclipse.sisu.plexus.PlexusRequirements$RequirementProvider
 138:           206           3296  java.util.HashMap$Values
 139:           103           3296  org.eclipse.sisu.inject.MildElements$Weak
 140:             6           3224  [[C
 141:           200           3200  java.io.ObjectInputStream$ValidationList
 142:           200           3200  sun.rmi.server.MarshalOutputStream$1
 143:           197           3152  java.util.LinkedHashMap$LinkedValues
 144:            69           3096  [Ljava.lang.invoke.LambdaForm$Name;
 145:           129           3096  sun.reflect.NativeConstructorAccessorImpl
 146:            64           3072  java.lang.invoke.LambdaForm
 147:           166           3048  [Lsun.reflect.generics.tree.TypeArgument;
 148:            76           3040  java.security.ProtectionDomain
 149:            42           3024  org.apache.lucene.index.SegmentInfo
 150:            93           2976  org.eclipse.sisu.inject.LocatedBeans
 151:           122           2928  com.google.inject.internal.DefaultConstructionProxyFactory$1
 152:            28           2912  [Ljava.lang.invoke.MethodHandle;
 153:            49           2744  java.lang.invoke.MethodTypeForm
 154:            56           2688  java.util.zip.Inflater
 155:           165           2640  sun.reflect.generics.tree.ClassTypeSignature
 156:           164           2624  java.net.InetSocketAddress
 157:           164           2624  java.net.Socket$2
 158:           164           2624  java.net.Socket$3
 159:           108           2592  com.google.inject.internal.SingleParameterInjector
 160:            96           2576  [Ljava.io.ObjectStreamField;
 161:            32           2560  com.google.common.cache.LocalCache$Segment
 162:           152           2432  java.net.SocksSocketImpl$3
 163:           152           2432  sun.rmi.transport.tcp.TCPChannel$1
 164:           147           2352  java.lang.ref.ReferenceQueue$Lock
 165:            73           2336  java.lang.invoke.DirectMethodHandle
 166:            97           2328  java.lang.invoke.LambdaForm$NamedFunction
 167:            72           2304  java.util.zip.ZipCoder
 168:           143           2288  org.eclipse.sisu.bean.BeanPropertyField
 169:            71           2272  java.security.CodeSource
 170:            93           2232  org.eclipse.sisu.inject.BeanCache
 171:           139           2224  sun.reflect.DelegatingConstructorAccessorImpl
 172:           138           2208  com.sun.proxy.$Proxy16
 173:           137           2192  java.util.HashSet
 174:            44           2112  java.util.logging.LogManager$LoggerWeakRef
 175:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 176:           128           2048  java.lang.Character
 177:           122           1952  com.google.inject.internal.DefaultConstructionProxyFactory
 178:             8           1912  [[B
 179:            75           1800  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 180:            75           1800  java.io.ObjectStreamClass$ClassDataSlot
 181:            75           1800  org.eclipse.sisu.plexus.PlexusXmlMetadata
 182:            56           1792  java.security.Permissions
 183:           111           1776  com.google.inject.Key$AnnotationInstanceStrategy
 184:            74           1776  java.util.ArrayDeque
 185:            43           1720  com.google.inject.internal.LinkedBindingImpl
 186:            70           1680  org.eclipse.sisu.plexus.ConfigurationImpl
 187:            50           1632  [Lorg.eclipse.sisu.bean.PropertyBinding;
 188:            51           1632  java.io.FilePermission
 189:            51           1632  java.security.BasicPermissionCollection
 190:            40           1600  java.security.AccessControlContext
 191:            50           1600  java.util.Vector
 192:            66           1584  java.security.Provider$ServiceKey
 193:            63           1512  java.lang.RuntimePermission
 194:            27           1512  java.security.Provider$Service
 195:            31           1488  java.util.Hashtable
 196:            62           1488  org.codehaus.plexus.classworlds.realm.Entry
 197:            92           1472  com.sun.proxy.$Proxy24
 198:            20           1440  java.util.logging.Logger
 199:            88           1408  com.google.inject.name.NamedImpl
 200:             1           1376  [Lsun.misc.FDBigInteger;
 201:            43           1376  java.util.logging.LogManager$LogNode
 202:            56           1344  java.util.zip.ZStreamRef
 203:            40           1280  java.lang.ref.WeakReference
 204:            53           1272  sun.reflect.generics.factory.CoreReflectionFactory
 205:            79           1264  org.eclipse.sisu.wire.EntrySetAdapter
 206:            39           1248  com.google.inject.internal.FactoryProxy
 207:            51           1224  java.io.FilePermissionCollection
 208:            76           1216  [Ljava.security.Principal;
 209:            76           1216  java.security.ProtectionDomain$Key
 210:            25           1200  com.google.inject.internal.InstanceBindingImpl
 211:            49           1176  com.google.common.collect.ImmutableMapEntry$TerminalEntry
 212:            48           1152  java.rmi.dgc.Lease
 213:             8           1152  java.text.DecimalFormat
 214:            12           1152  org.apache.lucene.index.TermsHashPerField
 215:             3           1120  [F
 216:            35           1072  [Lcom.google.inject.internal.SingleParameterInjector;
 217:             2           1064  [Ljava.lang.Long;
 218:            33           1056  java.io.File
 219:            44           1056  sun.reflect.NativeMethodAccessorImpl
 220:             1           1040  [Ljava.lang.Byte;
 221:             1           1040  [Ljava.lang.Integer;
 222:             1           1040  [Ljava.lang.Short;
 223:            13           1040  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 224:             8           1024  com.google.common.cache.LocalCache
 225:            64           1024  org.eclipse.aether.internal.impl.DefaultUpdatePolicyAnalyzer
 226:            14           1008  sun.reflect.DelegatingClassLoader
 227:            41            984  sun.reflect.generics.scope.ClassScope
 228:            30            960  java.lang.ThreadLocal$ThreadLocalMap$Entry
 229:            40            960  java.net.InetAddress
 230:            30            960  java.security.Provider$EngineDescription
 231:            40            960  org.eclipse.aether.internal.impl.DefaultRemoteRepositoryManager
 232:            30            960  sun.reflect.generics.repository.ClassRepository
 233:            16            944  [J
 234:            29            928  java.lang.reflect.WeakCache$CacheValue
 235:            28            896  com.google.common.collect.RegularImmutableList
 236:            28            896  java.lang.NoSuchMethodException
 237:            16            896  java.util.ResourceBundle$CacheKey
 238:            35            840  org.eclipse.sisu.space.WildcardKey$QualifiedImpl
 239:            21            840  org.sonatype.nexus.index.IndexerField
 240:            21            840  sun.util.locale.BaseLocale$Key
 241:            26            832  java.lang.StackTraceElement
 242:            51            816  com.sun.proxy.$Proxy8
 243:            34            816  org.eclipse.aether.internal.impl.DefaultRepositoryEventDispatcher
 244:            42            808  [Lsun.reflect.generics.tree.FormalTypeParameter;
 245:            50            800  org.eclipse.sisu.bean.BeanInjector
 246:            11            792  java.util.regex.Pattern
 247:            16            768  java.util.ResourceBundle$BundleReference
 248:            48            768  java.util.concurrent.atomic.AtomicInteger
 249:            32            768  org.eclipse.sisu.wire.BeanProviders$1
 250:            31            744  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 251:            35            736  [Lsun.reflect.generics.tree.FieldTypeSignature;
 252:            23            736  java.lang.reflect.Proxy$Key1
 253:            23            736  sun.reflect.annotation.AnnotationType
 254:            13            728  sun.rmi.transport.tcp.TCPChannel
 255:            30            720  sun.reflect.generics.tree.ClassSignature
 256:            44            704  sun.reflect.DelegatingMethodAccessorImpl
 257:            43            688  com.sun.proxy.$Proxy10
 258:            17            680  com.google.common.cache.LocalCache$WeakEntry
 259:            12            672  java.lang.Class$ReflectionData
 260:            28            672  java.security.Provider$UString
 261:            21            672  java.util.Locale
 262:            42            672  org.apache.lucene.index.IndexFileDeleter$RefCount
 263:            21            672  sun.util.locale.BaseLocale
 264:            30            648  [Lsun.reflect.generics.tree.ClassTypeSignature;
 265:            27            648  java.rmi.dgc.VMID
 266:             4            640  [Lcom.google.common.collect.ImmutableMapEntry;
 267:            20            640  java.util.regex.Pattern$Curly
 268:            40            640  org.eclipse.aether.internal.impl.DefaultChecksumPolicyProvider
 269:            40            640  org.eclipse.aether.internal.impl.DefaultSyncContextFactory
 270:            40            640  org.eclipse.sisu.bean.BeanPropertySetter
 271:            20            640  sun.rmi.transport.DGCClient$EndpointEntry$RenewCleanThread$1
 272:             3            624  [Ljava.lang.invoke.LambdaForm;
 273:            13            624  java.util.concurrent.ThreadPoolExecutor$Worker
 274:            15            600  java.util.WeakHashMap$Entry
 275:             3            600  org.apache.lucene.index.DocumentsWriter
 276:            24            576  org.eclipse.aether.internal.impl.DefaultRepositoryConnectorProvider
 277:            24            576  org.eclipse.aether.internal.impl.DefaultUpdateCheckManager
 278:            24            576  org.eclipse.sisu.wire.BeanProviders$7
 279:             3            576  org.sonatype.nexus.index.context.NexusIndexWriter
 280:             4            576  sun.reflect.MethodAccessorGenerator
 281:            10            560  sun.invoke.util.Wrapper
 282:             9            552  [Ljava.lang.reflect.Method;
 283:            23            552  org.eclipse.sisu.plexus.PlexusLifecycleManager$2
 284:            17            544  com.google.inject.internal.SingleFieldInjector
 285:            17            544  org.sonatype.nexus.index.Field
 286:             1            528  [Ljava.lang.Character;
 287:            22            528  com.google.common.collect.RegularImmutableMap$NonTerminalMapEntry
 288:            33            528  org.eclipse.sisu.inject.RankedSequence
 289:            13            520  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 290:             8            512  java.text.DecimalFormatSymbols
 291:            16            512  java.util.ResourceBundle$LoaderReference
 292:            32            512  java.util.concurrent.atomic.AtomicReferenceArray
 293:            16            512  org.eclipse.sisu.inject.RankedBindings
 294:            16            512  sun.reflect.ClassFileAssembler
 295:            16            512  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 296:            21            504  java.rmi.server.ObjID
 297:            21            504  java.util.Locale$LocaleKey
 298:            21            504  java.util.concurrent.CopyOnWriteArrayList
 299:             9            504  sun.util.calendar.ZoneInfo
 300:            20            480  com.google.inject.Key$AnnotationTypeStrategy
 301:            10            480  java.util.Properties
 302:             6            480  sun.net.www.protocol.jar.URLJarFile
 303:            20            480  sun.reflect.generics.tree.FormalTypeParameter
 304:            12            480  sun.rmi.transport.tcp.TCPTransport$ConnectionHandler
 305:            10            480  sun.util.locale.provider.LocaleResources$ResourceReference
 306:            14            464  [Ljava.lang.annotation.ElementType;
 307:             6            456  [Lsun.invoke.util.Wrapper;
 308:            19            456  org.slf4j.impl.SimpleLogger
 309:             4            448  java.util.GregorianCalendar
 310:             7            448  org.eclipse.aether.internal.impl.DefaultRepositorySystem
 311:            27            432  com.google.inject.util.Providers$ConstantProvider
 312:            18            432  java.text.DateFormat$Field
 313:            16            416  [Ljava.rmi.server.Operation;
 314:            13            416  java.lang.invoke.SimpleMethodHandle
 315:            17            408  java.util.jar.Attributes$Name
 316:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 317:             7            392  [[I
 318:             1            384  java.lang.ref.Finalizer$FinalizerThread
 319:             6            384  java.nio.DirectByteBuffer
 320:             8            384  java.util.TreeMap
 321:            12            384  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 322:             1            384  java.util.logging.LogManager$Cleaner
 323:             6            384  org.apache.lucene.index.SegmentInfos
 324:             8            384  org.eclipse.aether.internal.impl.DefaultArtifactResolver
 325:            24            384  org.eclipse.aether.internal.impl.DefaultOfflineController
 326:            16            384  org.eclipse.sisu.inject.MildElements
 327:            16            384  sun.misc.MetaIndex
 328:            16            384  sun.reflect.ByteVectorImpl
 329:            12            384  sun.reflect.generics.tree.MethodTypeSignature
 330:            12            384  sun.rmi.runtime.NewThreadAction
 331:            16            384  sun.rmi.transport.ObjectEndpoint
 332:            24            384  sun.rmi.transport.Transport$$Lambda$8/834138932
 333:            12            384  sun.rmi.transport.Transport$1
 334:             4            384  sun.util.calendar.Gregorian$Date
 335:             1            376  java.lang.ref.Reference$ReferenceHandler
 336:             1            376  sun.misc.GC$Daemon
 337:            15            360  java.util.regex.Pattern$5
 338:             9            360  org.eclipse.aether.internal.impl.DefaultMetadataResolver
 339:            22            352  org.eclipse.aether.internal.impl.DefaultFileProcessor
 340:            11            352  sun.rmi.transport.LiveRef
 341:            11            344  [Ljava.lang.reflect.Field;
 342:            12            344  [Lsun.reflect.generics.tree.TypeSignature;
 343:            14            336  [Ljava.lang.reflect.TypeVariable;
 344:            14            336  [Ljava.net.InetSocketAddress;
 345:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 346:             6            336  java.nio.DirectLongBufferU
 347:             6            336  org.apache.lucene.index.TermsHash
 348:             6            336  org.apache.lucene.index.TermsHashPerThread
 349:             7            336  org.eclipse.aether.internal.impl.DefaultDeployer
 350:             6            336  sun.security.provider.SHA
 351:             4            328  [D
 352:            10            320  java.lang.OutOfMemoryError
 353:             8            320  java.text.DigitList
 354:            10            320  sun.security.jca.ProviderConfig
 355:            13            312  com.google.inject.spi.TypeConverterBinding
 356:            13            312  java.lang.ThreadLocal$ThreadLocalMap
