
 num     #instances         #bytes  class name
----------------------------------------------
   1:        177204       25508632  [C
   2:          6428        9847864  [I
   3:          6025        5964616  [B
   4:        173190        4156560  java.lang.String
   5:         64581        3616536  java.util.LinkedHashMap
   6:         26968        2588928  java.lang.reflect.Method
   7:         59436        1901952  java.util.HashMap$Node
   8:         21104        1413936  [Ljava.lang.Object;
   9:         12060        1341912  java.lang.Class
  10:         13838        1325520  [Ljava.util.HashMap$Node;
  11:         41259        1320288  java.util.concurrent.ConcurrentHashMap$Node
  12:         32776        1311040  java.util.LinkedHashMap$Entry
  13:          1821         972984  [Lcom.zeroturnaround.javarebel.gwb;
  14:         14510         812560  com.zeroturnaround.javarebel.gvw
  15:         11004         792288  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
  16:         11641         745024  java.net.URL
  17:         27485         605680  [Ljava.lang.Class;
  18:         35259         564144  java.util.LinkedHashSet
  19:          5448         435840  java.lang.reflect.Field
  20:         16253         417912  [Ljava.lang.String;
  21:           218         393456  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  22:         10502         336064  com.zeroturnaround.javarebel.gwb
  23:          6443         309264  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  24:          3713         297040  java.lang.reflect.Constructor
  25:          5897         283056  java.util.HashMap
  26:          3698         266256  org.springframework.core.annotation.AnnotationAttributes
  27:         11003         264072  org.springframework.core.type.classreading.SimpleMetadataReader
  28:          5269         252912  com.zeroturnaround.jrebelbase.d
  29:         10495         251880  org.springframework.core.io.UrlResource
  30:         10105         242520  com.zeroturnaround.javarebel.guo
  31:         14136         226176  java.lang.Object
  32:          9048         217152  java.lang.Long
  33:         12021         192336  org.springframework.util.LinkedMultiValueMap
  34:         11906         190496  java.util.LinkedHashMap$LinkedValues
  35:          7895         189480  com.zeroturnaround.javarebel.agh
  36:          5509         176288  java.util.LinkedList
  37:          2372         160496  [Ljava.lang.reflect.Method;
  38:          6389         153336  org.springframework.util.ConcurrentReferenceHashMap$Entry
  39:          2736         153216  java.lang.Class$ReflectionData
  40:          4783         153056  java.util.Hashtable$Entry
  41:          6345         152280  java.util.LinkedList$Node
  42:          6111         146664  java.util.ArrayList
  43:          9070         145120  java.lang.Integer
  44:          3526         141040  java.lang.ref.SoftReference
  45:          2789         133872  org.springframework.core.ResolvableType
  46:          3679         117728  java.lang.ref.WeakReference
  47:          1224         114584  [Ljava.util.Hashtable$Entry;
  48:          7107         113712  com.zeroturnaround.javarebel.age
  49:          2636         105440  java.lang.ref.Finalizer
  50:          4292         103008  com.zeroturnaround.javarebel.guq
  51:           839          80544  com.zeroturnaround.reload.ab
  52:           848          76032  [Lcom.zeroturnaround.javarebel.haf;
  53:          3154          75696  org.springframework.core.MethodClassKey
  54:          2319          74208  java.util.Vector
  55:           905          74200  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  56:          1833          73320  java.security.ProtectionDomain
  57:          1307          73192  java.security.Provider$Service
  58:          2261          72352  sun.reflect.DelegatingConstructorAccessorImpl
  59:          2180          69760  java.lang.ref.ReferenceQueue
  60:          4328          69248  com.zeroturnaround.javarebel.gwg
  61:          1696          67840  java.util.TreeMap$Entry
  62:          4219          67504  org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder
  63:          1686          67440  com.zeroturnaround.javarebel.gww
  64:          1197          67032  java.lang.invoke.MemberName
  65:             2          65568  [Lcom.alibaba.fastjson.util.IdentityHashMap$Entry;
  66:          1991          63712  java.util.concurrent.locks.ReentrantLock$NonfairSync
  67:          2624          62976  java.security.Provider$ServiceKey
  68:           357          62832  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  69:          1831          58592  java.security.CodeSource
  70:          1187          56976  java.util.Hashtable
  71:           997          55832  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
  72:          2199          52776  org.zeroturnaround.bundled.javassist.bytecode.Utf8Info
  73:          2076          49824  sun.reflect.annotation.AnnotationInvocationHandler
  74:          1029          49392  org.apache.tomcat.util.modeler.AttributeInfo
  75:          1028          49344  org.zeroturnaround.javarebel.integration.util.WeakIdentityHashMap$Entry
  76:           844          47264  com.zeroturnaround.reload.z
  77:           270          45360  org.springframework.beans.factory.support.RootBeanDefinition
  78:          1069          42760  java.lang.invoke.MethodType
  79:          2667          42672  java.util.LinkedHashMap$LinkedEntrySet
  80:           866          41568  com.zeroturnaround.javarebel.haf
  81:          1293          41376  java.io.File
  82:           847          40656  com.zeroturnaround.javarebel.gzy
  83:           106          39856  java.lang.Thread
  84:          1638          38768  [Ljava.lang.reflect.Constructor;
  85:           448          36976  [Ljava.util.WeakHashMap$Entry;
  86:           441          36144  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  87:           876          35040  org.springframework.boot.devtools.filewatch.FileSnapshot
  88:          2182          34912  java.lang.ref.ReferenceQueue$Lock
  89:          1451          34824  sun.reflect.generics.tree.SimpleClassTypeSignature
  90:           835          34768  [Ljava.lang.reflect.Field;
  91:          1085          34720  java.lang.ThreadLocal$ThreadLocalMap$Entry
  92:          1080          34560  sun.reflect.DelegatingMethodAccessorImpl
