
 num     #instances         #bytes  class name
----------------------------------------------
   1:         14266        1281256  [C
   2:          1997        1180320  [I
   3:          1493         551408  [B
   4:          3858         424768  java.lang.Class
   5:         13244         317856  java.lang.String
   6:          6023         192736  java.util.concurrent.ConcurrentHashMap$Node
   7:          3035         191472  [Ljava.lang.Object;
   8:          2766         110640  java.util.LinkedHashMap$Entry
   9:          6618         105888  java.lang.Object
  10:          1034          95872  [Ljava.util.HashMap$Node;
  11:          2597          83104  java.util.HashMap$Node
  12:           520          45760  java.lang.reflect.Method
  13:            46          44160  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  14:           784          43904  java.util.LinkedHashMap
  15:           557          40104  java.lang.reflect.Field
  16:           898          35920  java.util.TreeMap$Entry
  17:           768          30720  org.apache.lucene.index.FreqProxTermsWriter$PostingList
  18:           759          30360  java.lang.ref.SoftReference
  19:          1203          28872  com.google.inject.TypeLiteral
  20:           347          27760  java.lang.reflect.Constructor
  21:           848          27136  com.google.inject.Key
  22:           502          24096  java.util.HashMap
  23:           185          22200  java.net.SocksSocketImpl
  24:           462          22176  com.google.inject.internal.ProviderInstanceBindingImpl
  25:           646          20672  com.google.inject.spi.ElementSource
  26:           511          20440  java.lang.ref.Finalizer
  27:           848          20352  com.google.common.base.Suppliers$MemoizingSupplier
  28:           631          20192  com.google.common.cache.LocalCache$StrongEntry
  29:           840          20160  java.util.ArrayList
  30:           325          16856  [Ljava.lang.String;
  31:           509          16288  java.util.Hashtable$Entry
  32:           185          16280  java.net.DualStackPlainSocketImpl
  33:           664          15792  [Ljava.lang.Class;
  34:           477          15264  com.google.inject.spi.Dependency
  35:           253          14168  java.lang.Package
  36:           848          13568  com.google.inject.Key$1
  37:           341          10912  sun.misc.FDBigInteger
  38:           194          10864  java.lang.invoke.MemberName
  39:           169          10816  java.net.URL
  40:           337          10784  com.google.inject.spi.InjectionPoint
  41:           449          10776  java.lang.Long
  42:           648          10368  com.google.common.cache.LocalCache$StrongValueReference
  43:            24          10272  [Lorg.apache.lucene.index.RawPostingList;
  44:           408           9792  sun.reflect.annotation.AnnotationInvocationHandler
  45:           242           9680  com.google.inject.internal.Initializer$InjectableReference
  46:           375           9000  java.util.LinkedList$Node
  47:           277           8864  java.util.concurrent.locks.ReentrantLock$NonfairSync
  48:           366           8784  com.google.inject.internal.ProvisionListenerStackCallback
  49:           366           8776  [Lcom.google.inject.spi.ProvisionListener;
  50:           365           8760  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
  51:           218           8720  com.google.inject.internal.SingletonScope$1
  52:           363           8712  java.lang.Class$AnnotationData
  53:           181           8688  java.net.SocketInputStream
  54:           181           8688  java.net.SocketOutputStream
  55:           191           7640  java.io.FileDescriptor
  56:           312           7488  org.eclipse.sisu.space.NamedClass
  57:           218           6976  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
  58:            85           6768  [Ljava.util.WeakHashMap$Entry;
  59:           203           6496  java.net.InetAddress$InetAddressHolder
  60:           198           6336  java.lang.invoke.LambdaForm$Name
  61:           156           6240  org.eclipse.sisu.inject.MildValues$Weak
  62:           256           6184  [Ljava.lang.reflect.Type;
  63:           193           6176  java.util.LinkedList
  64:           256           6144  com.google.common.collect.SingletonImmutableSet
  65:            43           6088  [Ljava.util.Hashtable$Entry;
  66:            79           6032  [S
  67:            16           6016  java.lang.Thread
  68:           122           5856  com.google.inject.internal.ConstructorBindingImpl
  69:           183           5856  java.net.Socket
  70:            61           5856  java.util.jar.JarFile$JarFileEntry
  71:            94           5640  [Ljava.lang.ref.SoftReference;
  72:           234           5616  com.google.common.collect.SingletonImmutableList
  73:            19           5520  [Z
  74:           230           5520  com.google.inject.internal.InternalFactoryToInitializableAdapter
  75:           136           5440  java.lang.invoke.MethodType
  76:           222           5328  com.google.inject.internal.InternalFactoryToProviderAdapter
  77:           222           5328  com.google.inject.internal.ProviderToInternalFactoryAdapter
  78:           218           5232  com.google.inject.internal.ConstructionContext
  79:           323           5168  java.lang.Integer
  80:           209           5016  com.google.inject.internal.MoreTypes$ParameterizedTypeImpl
  81:           145           4640  java.lang.ref.ReferenceQueue
  82:           144           4608  com.google.inject.internal.MembersInjectorImpl
  83:           142           4544  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  84:           142           4544  sun.reflect.UnsafeObjectFieldAccessorImpl
  85:            80           4480  sun.misc.URLClassPath$JarLoader
  86:           185           4440  java.net.Inet4Address
  87:            67           4288  java.util.concurrent.ConcurrentHashMap
  88:           266           4256  org.eclipse.aether.internal.impl.slf4j.Slf4jLoggerFactory$Slf4jLogger
  89:            66           4224  java.util.jar.JarFile
  90:           256           4096  java.lang.Byte
  91:           256           4096  java.lang.Short
  92:            84           4032  java.util.WeakHashMap
  93:            72           4032  sun.nio.cs.UTF_8$Encoder
  94:           166           3984  sun.reflect.generics.tree.SimpleClassTypeSignature
  95:           123           3936  org.eclipse.sisu.plexus.RequirementImpl
  96:           245           3920  java.util.concurrent.locks.ReentrantLock
  97:           163           3912  java.lang.StringBuilder
  98:           122           3904  com.google.inject.internal.ConstructorBindingImpl$Factory
  99:           122           3904  com.google.inject.internal.ConstructorInjector
 100:           159           3816  org.eclipse.sisu.plexus.ProvidedPropertyBinding
 101:           156           3744  com.google.inject.internal.InjectorImpl$2
 102:           143           3432  org.eclipse.sisu.plexus.PlexusRequirements$RequirementProvider
 103:           103           3296  org.eclipse.sisu.inject.MildElements$Weak
 104:             6           3224  [[C
 105:           197           3152  java.util.LinkedHashMap$LinkedValues
 106:            69           3096  [Ljava.lang.invoke.LambdaForm$Name;
 107:           129           3096  sun.reflect.NativeConstructorAccessorImpl
 108:            64           3072  java.lang.invoke.LambdaForm
 109:           166           3048  [Lsun.reflect.generics.tree.TypeArgument;
 110:            76           3040  java.security.ProtectionDomain
 111:            42           3024  org.apache.lucene.index.SegmentInfo
 112:            93           2976  org.eclipse.sisu.inject.LocatedBeans
