
 num     #instances         #bytes  class name
----------------------------------------------
   1:        973003       97823136  [C
   2:        256338       44945992  [I
   3:        602148       33693544  [Ljava.lang.Object;
   4:        163395       32297272  [B
   5:        601603       24064120  com.intellij.psi.impl.source.tree.LeafPsiElement
   6:        862582       20701968  java.lang.String
   7:        192052       10754912  com.intellij.psi.impl.source.tree.CompositeElement
   8:        405478        9731472  com.intellij.openapi.util.UnfairTextRange
   9:        131675        8427200  com.intellij.lang.javascript.psi.impl.JSReferenceExpressionImpl
  10:         68571        7502200  java.lang.Class
  11:        300185        7204440  com.intellij.util.SmartList
  12:        192022        6144704  java.util.concurrent.ConcurrentHashMap$Node
  13:        217654        5223696  com.intellij.util.io.StringRef
  14:        216658        5199792  com.intellij.util.keyFMap.OneElementFMap
  15:        153778        4920896  java.util.HashMap$Node
  16:        112969        4518760  com.intellij.reference.SoftReference
  17:        177534        4260816  java.util.ArrayList
  18:         81066        3990368  [J
  19:         58442        3740288  java.util.regex.Matcher
  20:         33186        3740024  [Ljava.util.HashMap$Node;
  21:         91947        3677880  com.intellij.psi.impl.source.tree.PsiWhiteSpaceImpl
  22:         78729        3149160  java.util.LinkedHashMap$Entry
  23:        124899        2997576  com.intellij.psi.impl.source.tree.AstPath$ChildPath
  24:         72157        2886280  com.intellij.util.containers.hash.LinkedHashMap$Entry
  25:         29472        2829312  com.intellij.codeInsight.daemon.impl.HighlightInfo
  26:        114146        2739504  com.intellij.util.SmartList$SingletonIterator
  27:         67632        2734208  [Lcom.intellij.psi.PsiLanguageInjectionHost$Shred;
  28:         55697        2673456  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptSingleTypeStubImpl
  29:        109619        2630856  com.intellij.util.ProcessingContext
  30:        157612        2521792  com.intellij.openapi.vfs.newvfs.impl.FileNameCache$$Lambda$107/2104455243
  31:        102803        2467272  com.intellij.openapi.util.ProperTextRange
  32:         72735        2327520  com.intellij.util.text.ByteArrayCharSequence
  33:         95959        2303016  com.intellij.util.text.ImmutableText$InnerLeaf
  34:         93290        2238960  com.intellij.psi.impl.source.tree.injected.InjectedPsiCachedValueProvider$MyInjProcessor
  35:         68756        2200192  com.intellij.psi.impl.source.AstPathPsiMap$MyReference
  36:         65500        2096000  java.util.AbstractList$Itr
  37:         51689        2067560  gnu.trove.THashSet
  38:         27967        2013624  java.awt.geom.AffineTransform
  39:         30963        1981632  java.util.stream.ReferencePipeline$2
  40:         40878        1962144  com.intellij.lang.javascript.psi.stubs.impl.JSAttributeListStubImpl
  41:          5945        1943352  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  42:         60051        1921632  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  43:         47911        1916440  com.intellij.psi.impl.java.stubs.impl.PsiModifierListStubImpl
  44:         38545        1850160  java.nio.HeapByteBuffer
  45:         37822        1815456  java.nio.HeapCharBuffer
  46:            54        1770336  [Ljava.util.concurrent.ForkJoinTask;
  47:         26147        1673408  com.intellij.lang.javascript.psi.impl.JSArgumentListImpl
  48:         34676        1664448  org.jdom.ImmutableElement
  49:         45075        1626984  [Ljava.lang.String;
  50:         24511        1568704  com.intellij.lang.javascript.psi.impl.JSBinaryExpressionImpl
  51:         20475        1474200  java.lang.reflect.Field
  52:         61334        1472016  com.intellij.util.CachedValueBase$Data
  53:         30201        1449648  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$SoftValue
  54:         29616        1421568  java.util.HashMap
  55:         58090        1416736  [Ljava.lang.Class;
  56:         43658        1397056  com.intellij.psi.impl.PsiCachedValueImpl
  57:         24097        1349432  java.util.stream.ReferencePipeline$Head
  58:         41679        1333728  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
  59:         32114        1284560  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey
  60:         26655        1279440  net.sourceforge.pmd.lang.java.ast.Token
  61:         26546        1274208  com.intellij.psi.impl.java.stubs.impl.PsiClassReferenceListStubImpl
  62:         53055        1273320  com.intellij.openapi.util.TextRange
  63:         11800        1243152  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  64:         28880        1155200  java.lang.ref.SoftReference
  65:         35895        1148640  com.intellij.util.containers.LockFreeCopyOnWriteArrayList$COWIterator
  66:         46998        1127952  com.intellij.openapi.util.Pair
  67:         15499        1123344  [D
  68:         27657        1106280  sun.nio.cs.ISO_8859_1$Decoder
  69:         34285        1097120  com.intellij.psi.impl.source.tree.AstPath$MilestoneChildPath
  70:         22660        1087680  com.intellij.codeInsight.daemon.impl.LocalInspectionsPass$5
  71:         19379        1085224  com.intellij.psi.impl.java.stubs.impl.PsiMethodStubImpl
  72:          5198        1081184  sun.java2d.SunGraphics2D
  73:         44596        1070304  com.intellij.psi.impl.cache.TypeInfo
  74:         18771        1051176  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptParameterStubImpl
  75:         16290        1042560  java.util.stream.ReferencePipeline$3
  76:         30976         991232  com.intellij.lang.javascript.psi.types.JSTypeSource
  77:         12372         989760  com.intellij.openapi.editor.impl.RangeHighlighterImpl
  78:         13701         933368  [Lorg.jdom.Content;
  79:         19329         927792  gnu.trove.THashMap
  80:         19274         925152  com.intellij.psi.impl.java.stubs.impl.PsiParameterStubImpl
  81:         38280         918720  com.intellij.util.containers.ImmutableList$Itr
  82:         22679         907160  com.intellij.psi.impl.java.stubs.impl.PsiTypeParameterListStubImpl
  83:         16142         903952  java.util.concurrent.ConcurrentHashMap$EntryIterator
  84:         10202         897776  java.lang.reflect.Method
  85:         13529         865856  com.intellij.openapi.editor.impl.IntervalTreeImpl$1
  86:          9706         854016  [Lcom.intellij.util.KeyedLazyInstanceEP;
  87:         13294         850816  java.util.concurrent.ConcurrentHashMap
  88:         15056         843136  java.util.LinkedHashMap
  89:         26038         833216  [Lorg.jetbrains.uast.UastLanguagePlugin;
  90:         34554         829296  java.util.Collections$1
  91:         20090         803600  java.security.AccessControlContext
  92:         24842         794944  java.util.Hashtable$Entry
  93:          8686         793176  [Lcom.intellij.psi.impl.source.tree.CompositeElement;
  94:         19510         780400  com.intellij.psi.impl.source.xml.XmlTokenImpl
  95:         16256         780288  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptPropertySignatureStubImpl
  96:         24330         778560  com.intellij.util.keyFMap.PairElementsFMap
  97:         48558         776928  java.lang.Integer
  98:         19379         775160  com.intellij.psi.impl.java.stubs.impl.PsiParameterListStubImpl
  99:         12056         771584  com.intellij.lang.javascript.psi.stubs.impl.JSPropertyStubImpl
 100:         19284         771360  com.intellij.psi.css.impl.descriptor.CssCommonDescriptorData
 101:         47990         767840  com.intellij.openapi.util.Ref
 102:         18889         755560  com.intellij.psi.impl.source.tree.java.PsiJavaTokenImpl
 103:         30963         743112  java.util.stream.ReferencePipeline$2$1
 104:         18441         737640  com.intellij.psi.impl.PsiCachedValuesFactory$3
 105:         30419         730056  com.intellij.psi.util.CachedValuesManager$$Lambda$1135/312702771
 106:         22666         725312  com.intellij.codeInspection.LocalInspectionToolSession
 107:         12523         701288  com.intellij.psi.impl.source.tree.java.PsiReferenceParameterListImpl
 108:         21841         698912  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
 109:         14500         696000  com.intellij.spellchecker.inspections.SpellCheckingInspection$MyTokenConsumer
 110:         10821         692544  com.intellij.openapi.editor.impl.RangeHighlighterTree$RHNode
 111:          9617         692424  com.intellij.lang.javascript.psi.impl.JSBlockStatementImpl
 112:         17236         689440  com.intellij.psi.css.impl.descriptor.value.CssValueDescriptorData
 113:         12253         686168  com.intellij.lang.javascript.psi.stubs.impl.JSParameterStubImpl
 114:         28348         680352  com.intellij.openapi.editor.impl.TextRangeInterval
 115:         10611         679104  com.intellij.lang.javascript.psi.impl.JSCommaExpressionImpl
 116:         21145         676640  java.util.ArrayList$Itr
 117:         27647         663528  org.jdom.ImmutableSameTypeAttributeList
